title,location,employment_type,level,category,salary_min,salary_max,salary_type,description,requirements
Credit Risk Analyst – Leading Renewable Energy trading Multinational,Central,Full Time,Professional,"Risk Management, Banking and Finance",,,,"Roles & Responsibilities
• 6 years of relevant experience

• Renewable energy, LNG trading 

• APAC hub

This is a leading European renewable trading multinational company with a significant presence in Singapore and Asia Pacific. They are now looking for a high calibre credit risk analyst to join the Singapore office. 
  Job Responsibilities
Reporting to the Chief Risk officer (CRO), the Analyst plays an integral role in daily credit assessment of counterparty, monitoring of credit exposure, developing credit risk framework, and be in charge of daily credit risk reporting. He / She will also be responsible for maintaining the credit management system, be able to streamline processes and be kept up to date on credit events around the world. As the Analyst will also be involved in cross-functional projects, strong stakeholders’ management skill is crucial. 
  Requirements/Qualifications
The successful candidate will possess a degree in Mathematical / Finance / Economics discipline with at least 6 years of credit risk management experience in a trading environment. You will possess good analytical and organisation skills, is solution oriented and is meticulous. You will also be a good team player with strong communication and interpersonal skills. Being resourceful and having prior experience in ISDA, Reuters and Bloomberg will be highly desirable. ","Requirements
**Apply here**
https://www.bluechipcareers-asia.com/jobDetails/4559/credit-risk-analyst-leading-renewable-energy-trading-multinational
For more Banking and Finance Jobs visit us at:
https://www.bluechipcareers-asia.com"
"Financial Analyst, Google Customer Solutions - Singapore",South,Full Time,Executive,Banking and Finance,"$6,600","to$13,200",Monthly,"Roles & Responsibilities
Company overview:
Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers.
The area: Finance
The name Google came from """"googol,"""" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business.
The role: Financial Analyst, Google Customer Solutions - Singapore
Financial Analysts ensure that Google makes sound financial decisions. Our team of Financial Analysts foster the financial health of our organization by partnering closely with our various functions, tracking performance metrics and creating financial models. Our Financial Analysts are up to date with the latest economic trends and apply knowledge around rates of return, depreciations, working capital requirements and investment performance to the projects at hand. As a Financial Analyst, you are called upon to build complex scenarios analyses that serve as the basis for recommendations that leaders of the business draw from to make critical strategic decisions. A master juggler working on multiple projects at a time, you maintain a consistently high level of attention to detail while finding creative ways to tackle financial challenges. As someone who knows the workings of the core Finance team inside and out, you'll lead individual projects to transform planning, tracking and control processes. You'll provide senior level management with insightful recommendations, planning and reporting support.
Additional Role Description:
As a Financial Analyst, you will provide decision support to the Asia Pacific sales management team for Google Customer Solutions. As a member of this team, you will be involved in projects partnering with various teams in finance, sales operations and strategy and across many products including Search, Display and YouTube.
Responsibilities:
- Provide management with clear insights and recommendations into drivers of revenue, market trends, risks, and opportunities leading to revenue enhancing sales and product actions.
- Engage in deep dive analyses to understand business performance, and provide concise summaries and recommendations to management.
- Support critical financial planning processes such as revenue forecasting, sales target setting, and sales performance evaluations.
- Identify new business opportunities to increase revenue performance. Communicate effectively with Mandarin speaking clients.
- Work with cross-functional partners to ensure robust tracking and governance are put in place to enable business delivery against specific areas of investment.","Requirements
Minimum qualifications:
- BA/BS degree or equivalent practical experience.
- 5 years of relevant work experience.
- Ability to speak and write in Mandarin fluently and idiomatically.
Preferred qualifications:
- Analytical experience working with large volumes of complex data.
- Proficiency in spreadsheets and SQL.
- Developed business judgment, leadership skills, and the ability to communicate with a senior management team.
- Distinctive problem solving and analysis skills."
Senior Business Analyst,Central,Permanent,Professional,Information Technology,,,,"Roles & Responsibilities
Unique Requirements
Strong understanding of private banking domain, particularly in the following areas:
o Wealth management
o Investment portfolio analysis
o Investment portfolio risk management
o Portfolio performance computation & attribution
o Market data handling o Use of qualitative and quantitative research
o Asset Allocation definition & optimization strategies/ algorithms
o Constituents screening: equity/bonds/funds (must), derivatives (nice to have)
o Portfolio hedging
o Portfolio rebalance strategies
o Regulatory policies on investments
No matter how business focused, the candidate must have a detailed appreciation of enterprise architecture concepts and truly understand the tricky areas of technology delivery
Should easily fit into the vendor world which requires flexibility to work across different job functions to get the job done and at the same time being fair but firm with the customer
Willing to travel for major project phases for a number of weeks to a few months of course returning on weekends
Job Description
Due to growth momentum we need to hire Senior Business Analyst who will sit in the Business Analyst Team and work collaboratively with both project delivery and R&D teams to execute the functional analysis and design elements of our system delivery projects. This role will be fast-paced and exciting. The successful candidate will be passionate about the benefits of digital technology to banking approaches, a clear and frank communicator, and a confident leader of delivery streams.
Responsibilities:
• Define product vision, road-map and growth opportunities
• Assess value, develop cases, and prioritize stories, epics and themes to ensure work focuses on those with maximum value that are aligned with product strategy
• Provide backlog management, iteration planning, and elaboration of the user stories
• Provide an active role in mitigating impediments impacting successful team completion of Release/Sprint Goals
• Research and analyze market, the users, and the roadmap for the product
• Follow our competitors and the industry
• Providing vision and direction to the Agile development team and stakeholders throughout the project and create  requirements
• Ensure that the team always has an adequate amount of prior prepared tasks to work on
• Plan and prioritize product feature backlog and development for the product
 ","Requirements
Degree in Information Systems, Business Administration, Finance or other related fields from a recognized University
More than 6 years of relevant experience with strong understanding of private banking, wealth management, portfolio management & market data
Knowledge of analysis methodology, modeling tools (knowledge of UML is a plus) and information technology tools
Proven track record on digital projects delivery will be a plus
Excellent presentation, verbal and written communications skills
Fluent in English, both written and spoken (knowledge of Asian languages is a plus)
Must possess a strong sense of work commitment and should be able to handle fast paced & changing priority environment"
Senior Financial Analyst (Pharmaceutical),Islandwide,Permanent,Senior Executive,Accounting / Auditing / Taxation,,,,"Roles & Responsibilities
Work for a Fortune 500 US MNC
Financial Planning & Reporting
Streamlining Finance Processes
A great opportunity has now arisen for a Senior Financial Analyst with one of the one of the world’s largest pharmaceutical and medical devices company. This company is an employer of choice for many and is regarded as one of the best places to work due to its culture and opportunities for internal mobility.
Reporting to the Finance Manager, the Senior Financial Analyst will be supporting the business in financial planning, reporting, analytics activities, and process improvement projects. This includes standardization and delivery of reporting, preparation of business plans and developing best practices for processes and systems. In addition, you will assist to support any ad-hoc projects or tasks from the business.","Requirements
The successful candidate will be professionally qualified, and/or possess a degree from a reputable University. You will have at least 7 years’ relevant experience. We are looking for a tenacious and highly-driven team player. Strong communication and interpersonal skills are required due to frequent engagements with stakeholders within the business. Mandarin speaking capability is required for this role as you will need to communicate often to business stakeholders based in China.
Interested candidates can forward their CVs in MS Word format to adriell@ethosbc.com quoting reference number AO/ATTU-575216/JLL or call Adriell on 6692 0797 for a confidential discussion.
BeathChapman Pte Ltd
Licence no. 16S8112
Reg No. 1113627"
System Analyst (Java) (JD#4804),East,"Contract, Full Time","Executive, Senior Executive",Entertainment,"$4,000","to$5,000",Monthly,"Roles & Responsibilities
Job Summary
An exciting opportunity for Java enthusiasts to work as System Analyst with a well established e-commerce organization in Singapore.","Requirements
Mandatory Skill-set
Degree in Computer Science , Information Systems, Computer Engineering or an equivalent qualification;
3 - 5 years of experience in software design and development ;
Has strong technical experience in technologies like Java, Spring, HTML 5, Javascript;
Proficient in databases like Oracle, PL/SQL;
Ability to work independently and in a team;
Possess excellent problem solving, analytical thinking, time management and leadership skills.
Desired Skill-set
SCJP Certified.
Responsibilities
Understanding business requirements to create technical specifications;
Responsible for developing technical specifications, coding, implementation, integration, documentation and user guide;
Perform coding in compliance with the specifications and requirements;
Involve in System Integration and User Acceptance Testing;
Providing the technical solutions to the production issues and prepare the impact analyze documents for defects/issues;
Provide user and system support during and post implementation.
Should you be interested in this exciting opportunity, please send your resume at apply@sciente.com at the earliest. Confidentiality is assured and only short-listed candidates shall be notified.
  EA Licence No. 07C5639"
Applications Analyst,Central,Full Time,Executive,Information Technology,"$3,000","to$4,000",Monthly,"Roles & Responsibilities
We invite highly motivated professionals with relevant experience to join our team as Applications Analyst. 
In this role, you will be responsible for:
Applications development
Requirement studies whenever required by team lead
Perform UAT
User guides and system/ project documentation
User training
System troubleshooting 
Ad-hoc duties as assigned ","Requirements
Minimum 3 years working experience in software development
Diploma or Degree in IT, ITIL certified will be an added advantage
Experience with mobile apps development and Cloud computing will be an added advantage
C#.NET or VB.NET programming knowledge
Work knowledge in MS SQL Server, Crystal Report and VB macro
Communication skills, analytical skills, accuracy, interpersonal skills and basic IT skills"
Business Analyst,Central,Full Time,Executive,"Banking and Finance, Information Technology","$5,000","to$6,500",Monthly,"Roles & Responsibilities
Company Overview
Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand.
Our client is an establish company a, leader within their industry, is now looking for a Business Analyst to join their esteemed organization.
Job Description :
OIPA:
1. Working experience in Oracle Insurance Policy Administration
2. Working experience in with Oracle Database
3. Working experience in banking industry.

This role requires strong business analysis skills with direct and demonstrable experience of working in a Risk function of a large Financial Institution as well as a sound understanding of the Systems Development Life Cycle. Good working knowledge of the end to end processes and functions supporting Capital and RWA reporting as well as exposure to Risk Models would be desirable.
 ","Requirements
KNOWLEDGE, SKILLS AND EXPERIENCE
• 5-10 years of functional experience in Capital, Risk, Regulatory Reporting Change Management roles
• Experience with Risk Models implementation
• Knowledge of BIS Capital related Documentation and financial instruments
• Experience with both waterfall & agile methodologies
• Experience in analysing data to draw business-relevant conclusions
All successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits.
Interested Candidates please submit your detailed resume online.
To your success!
The Recruitment Team
Intellect Minds Pte Ltd (Singapore)"
Malware Analyst (JD#4859),South,Contract,Senior Executive,Information Technology,,,,"Roles & Responsibilities
We are looking for an Malware Analyst to be part of the team to contribute to the building of a more resilient and trusted cyber environment","Requirements
Mandatory Skill-set
Degree in Computer Science, Engineering, Information Systems;
At least 5 years of experience with application, system and network security field;
Knowledge and interest in malware analysis techniques (both dynamic and static analysis of malicious binaries);
Knowledge in Operating Systems internals (especially Windows) and programming experience in C;
Experience in malware analysis, computer / mobile forensics and network traffic analysis;
Knowledge in interactive disassemblers (IDA, Radare) and debuggers (OllyDbg, x64dbg);
Experience in creating systems and network defense signatures such as Yara, Snort;
Good knowledge of latest cybersecurity threats, hacker methodology, tactics, techniques and procedures;
Strong proficiency in writing malware analysis or technical report;
Excellent oral and written communications.
Desired Skill-set
GREM certifications;
Understanding of machine codes under different CPUs' architecture (x86/64, MIPS and ARM).
Responsibilities
Part of the Cybersecurity team to analyst threat and prepare for zero-day outbreak vulnerabilities;
Responsible to examine abnormalities, malicious executable files from various sources, feeds and events; 
Perform threat analysis and assessment of malicious code and to run false-positive testing;
Perform detailed reverse engineering analysis on malicious artefacts;
Manage and review the malware lab technology and its supporting infrastructure;
Able to communicate findings/results to stakeholders and recommend solutions;
Facilitate understanding of cyber threat entities and environments;
Provide technical consultancy and conduct technical sharing in latest cyber security threats and tools;
Identify weaknesses and vulnerabilities within the systems and proposing/implementing counter measures.
Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified. 
EA License: 07C5639"
Business Analyst-Cyber Security,East,Full Time,"Manager, Senior Executive","Banking and Finance, Information Technology","$9,500","to$13,500",Monthly,"Roles & Responsibilities
About Standard Chartered 
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.  
To us, good performance is about much more than turning a profit.  It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good. 
We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.
The Role Responsibilities
Lead Business Analyst for a critical project that designs and implements a new service capability in the space of Vulnerability Management
Requirements Definition: Elicit requirements with efficiency, accuracy and attention using interviews, document analysis, and business process analysis
Process Design: develop relevant use cases, design business process and data flows, and specify functional/non-functional requirements
Stakeholder Engagement: develop stakeholder management plan, ensure buy-in from relevant counterparts and manage dependencies across the project delivery lifecycle
Project Implementation: oversee the implementation e2e2 by scoping and prioritizing deliverables, challenging existing assumptions and come up with alternative solutions in case of blockers","Requirements
Our Ideal Candidate
Bachelor’s Degree in Computer Science, Information Technology or related field
5+ years of Business Analysis experience in the context of large, financial services organizations
Good understanding of cyber security and the challenges around implementing change in this space
Familiar with enterprise risk frameworks and the way large organizations govern risk thresholds
A highly analytical, process oriented, collaborative and creative individual
An individual that is willing to take ownership for driving change and challenge existing concepts
Apply now to join the Bank for those with big career ambitions. 
  How to Apply
Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1900001327&lang=en  to apply now and take the next step in fulfilling your potential.
You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com.
To help speed up your application, please note the following:
You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role
Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information)
We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application
It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience.
Diversity & Inclusion
Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential."
Cybersecurity Analyst (JD#4857),South,Contract,Senior Executive,Information Technology,,,,"Roles & Responsibilities
We are looking for enthusiastic and passionate candidate to join the cyber security team as a Cybersecurity Analyst.","Requirements
Mandatory Skill-set
Degree in Computer Science, Engineering, Information Systems;
At least 1 years of Security Operation Centre (SOC) experience or strong passion in cyber security may apply;
Fundamental knowledge in networking protocols such as TCP/IP, HTTP/S, DNS;
Understanding of Malware, Intrusion Detection Systems and SIEM platforms;
Willing to work on 24/7 shift duties;
Proactive and self-motivated team player with a strong sense of responsibility and accountability;
Keen learner and strong passion in self-development and cyber security research;
Strong problem solving and analytical skills with ability to work in fast paced environment;
Good written and communication skills.
Desired Skill-set
Certification in GPEN/GWAPT/OSCP/CREST;
Experience with scripting using Python/Powershell/Bash/WMI;
Knowledge in monitoring tools for data analytics and security devices.
Responsibilities
Part of the Cybersecurity monitoring (L1) team within the Security Operation Centre (SOC);
Perform monitoring, research, assessment and analysis on network and host based security events to search for signs of security compromise;
Track and manage incidents and handle end-to-end resolution starting from detection (opening) to closure;
Identify weaknesses and vulnerabilities within the systems and proposing/implementing countermeasures;
Liaise with the stakeholders and report potential findings from both technical and business perspective;
Adhere to the Standard Operation Procedures (SOP) within the security operations;
Involved in compliance and controls, self-assessment processes and documentation related tasks.
Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified. 
EA License: 07C5639"
