title,location,employment_type,level,category,salary_min,salary_max,salary_type,description,requirements
Scientist / Senior Scientist (ARTC),West,"Contract, Full Time",Executive,Sciences / Laboratory / R&D,"$5,900","to$11,800",Monthly,"Roles & Responsibilities
The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg
Plan and lead technical projects in Robotized Hammer Peening (RHP)and Deep cold Rolling (OCR) areas.
Execute and deliver RHP and OCR related projects together with a team of development engineers.
secure external funding for RHP and OCR related technologies","Requirements
Degree, Masters or PhD in Engineering
Minimum 5 years of experience i n manufacturing technology development (at least 3 years of experience in corporate R&D)
Possess broad knowledge in materials, manufacturing processes as well as inspection and characterisation techniques
The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
Data Scientist,South,Full Time,Middle Management,Engineering,"$2,200","to$6,000",Monthly,"Roles & Responsibilities
In this role, you will be responsible for analyzing time series data as well as news crawling / sentiment analysis engine for live customer projects supporting some of the largest players in the logistics and maritime . The purpose of this analytics engine is to help logistics asset owners improve their capacity utilization and return on investments. You'll be required to be an end-to-end data scientist. The role includes understanding business needs, developing a proof-of-concept, data collection, and productionizing your data product.
●  Understand the data requirements and provide relevant data visualisations, analysis, and insights
●  Be able to spot patterns and trends in data and propose solutions to respond to such trends and insights
●  Demonstrated records of doing programmatic data analytics with one of the major languages (R, Python, Matlab)
●  Experience with experimenting on different modelling techniques (supervised and unsupervised learning) and develop data visualisation for data stories
●  Demonstrated ability and aptitude to learn new things and contribute ideas
●  Experience with the SciPy Stack and Keras is a plus
●  Experience building web applications and cloud services is a plus
●  Experience building distributed systems is a plus
●  Experience with modern software development cycle is a plus
●  Experience in fields of computer science, engineering, science, mathematics, statistics, psychology, economics and linguistics are desirable","Requirements
●  Comfortable working with large amounts of data: facts, figures, and number crunching
●  Strong understanding of machine learning models
●  Able to compare different predictive models on different data sets and generate reports
●  Smart and hardworking individual who can work under pressure within a tight deadline
●  A team player
●  As an early member of an ambitious startup, the growth opportunities will be aplenty"
"Food Enzyme Application Scientist, Bakery",South,Full Time,Senior Management,Sciences / Laboratory / R&D,,,,"Roles & Responsibilities
Key responsibilities include but are not limited to: 
Design, plan, and execute bakery experiments in close collaboration with our Product Management and SAFI Innovation teams at multiple scales to evaluate and optimize enzyme and enzyme blend product performance and aid in scale-up 
Support long term product development pipeline by assisting in the technical development of enzyme products throughout the commercialization process: formulation and stability, application performance evaluation, marketing material generation, commercial-scale trialing, and post-launch support 
Develop new application solutions and enzyme concepts for the bakery industry 
Analyze and interpret lab- and commercial-scale data to evaluate and optimize performance
Support Sales and Technical Service efforts through routine analysis of customer samples, lab- and pilot-scale simulations of customer processes, method development, and onsite and remote technical support and enzyme training.   ","Requirements
Qualifications: 
PhD or Master’s degree in BioChemistry, Food Science, Cereal Chemistry or a related field. 
Relevant academic lab experience and 4+ years of relevant or Bakery industry experience with insights to the bakery value chain and needs. 
A solid understanding of principles of food science and/or bakery science, food ingredient functionalities, and food analytical techniques, are highly desirable. 
A good understanding of various enzymes and their potential applications in food is highly desirable 
Proficient in English. 
Excellent interpersonal skills, relationship builder. Experience in working in a highly complex matrix organization and across multiple cultures. 
Comfortable in a dynamic environment, able to deal with ambiguity and function autonomously. 
Experience working with multi-functional teams serving customers. 
Self-starter with good organizational skills and exceptional attention to detail. 
Willingness to travel up to 40%, including to customer commercial production sites. "
Scientist (Deep Learning 2.0) / I2R (A*STAR),South,"Contract, Full Time",Professional,Sciences / Laboratory / R&D,"$4,500","to$9,000",Monthly,"Roles & Responsibilities
About the Institute for Infocomm Research (I²R)
The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg
The Deep Learning 2.0 program is a multi-year A*STAR AI program, focused on capturing the next wave of deep learning. The program is focused on:
(a) 10x open problems in deep learning algorithmic research thrusts include learning with 10x fewer labeled samples, incorporating knowledge graphs into deep learning, online deep learning, and white box deep learning.
(b) Next generation hardware for deep learning: we are looking beyond GPUs and TPUs, and reimagining the entire hardware stack for deep learning from algorithms all the way down to silicon
(c) New emerging enterprise applications for deep learning: ranging from personalized medicine, finance, health-care, IOT and advanced semiconductor manufacturing
We are looking for a senior researcher who is capable of leading advanced AI methods research (beyond the deep learning hype cycle) on one of the following topics, and its applications to several domains
GANs in speech/ vision/ language
Bayesian learning, Causal Inference
Lifelong learning: from concepts to tasks
Knowledge graphs
Bottom-up reasoning
Innovative ideas to tackle the YouTube8M data set
Multimodal Q&A Systems
Game theory
Optimization techniques
Active Deep Learning
The researcher should be able to conceptualize ambitious R&D programs working with other researchers in DL2, raise funding, build teams and execute. The researcher should also be able to attract top students from the region or beyond. The skills should be complementary to the existing knowhow of the existing DL2 unit.
 ","Requirements
PhD in Computer Science, Statistics, or Data Science intensive fields, with IEEE Senior Membership, or a dozen top papers in AI conferences, or >1000 citations
Ability to scope long-term ambitious research programs and delivers
Good interpersonal and communication skills
The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
Data Scientist - Intern (6 months),East,Internship,Fresh/entry level,"Information Technology, Manufacturing, Others",$800,"to$1,500",Monthly,"Roles & Responsibilities
Essential Duties & Responsibilities
Analyse raw data: sourcing data from existing multiple DWH, assessing quality, cleansing, structuring for downstream processing
Identify new potential data sources: value of new data, integrating into analysis, assessing data readiness for automation and optimisation
Design, build and maintain efficient predictive solutions, full cycle: business case, data preparation, modelling, deployment to production
 ","Requirements
Education & Experience Requirements
Advanced degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field
Ability to work on complex projects from model design to deployment
Knowledge, experience, and expertise in diverse statistical and data mining techniques (e.g. - GLM/Regression, Boosting, Random Forest, Trees, Clustering, PCA, SVM, text mining, social network analysis etc.)
Ability to program and review code in Python, Spark, Scala, R, or Power BI is highly desirable
Experience with Big Data technologies like Hadoop, Spark, Hive, NoSQL, etc., and Cloud technologies (AWS, Azure, etc.) is a must
Desire to work in a highly-collaborative environment
Ability to work on multiple data science projects concurrently
Bilingual in Chinese and English (high fluency) as the successful person will liaise with our counterpart in China
Excellent communication skill and ability to work collaboratively in a dynamic environment"
Data Scientist,East,Permanent,Professional,Information Technology,"$5,000","to$10,000",Monthly,"Roles & Responsibilities
WHAT WE DO
Niometrics captures, organises and extracts insights from some of the biggest and most complicated datasets that our modern societies currently produce. We put a magnifying glass on the realities collectively constructed by billions of connected individuals and machines, making sense of how humanity is re-creating wholly new digital universes with bits and bytes – universes that need to be seen, interpreted and explained. From taking deep dives into digital behaviours, to exploring the most intimate interactions between network technology and user experiences, we do it all.
Our Data Science team consists of ambitious, creative and passionate individuals, united in the common goal of making a difference. With millions of users generating hundreds of TBs of data daily, our day-to-day job becomes an adventure of connecting digital signals with real-life habits to formulate granular audience insights – who they are, how they behave, and ultimately, how we can expect them to behave in the future. The action does not stop there – we also take pride in working with the latest high-end hardware and world-class software architecture. This means there are virtually no limits to the scope of future events we can model, giving us insights on not just people, but also the entire inter-connected ecosystem to which they belong.
We are perfectionists and we do not hide it. You will join a thrilling environment, implementing and deploying data science solutions that are both efficient and secure, setting the basis for a groundbreaking software platform for the long run.

YOUR ROLE AS DATA SCIENTIST
As a Data Scientist, you will work end-to-end, leading entire projects and owning their outcomes through their entire lifecycle. You will formulate hypotheses on structured and unstructured data, design experiments, draw meaningful conclusions and effectively communicate the results to business stakeholders. You will be part of a relentless team, curious to extract the highest value possible in the most effective way. You will put into action your machine learning skills, and together, we will build optimum algorithms for regression, classification, clustering, and information extraction.","Requirements
WHAT WE VALUE
BA/BS (or MA/MS) or equivalent experience in applied Data Science.
Proficiency in statistical packages and ML libraries for both big and not so big data (e.g. Python SciPy ecosystem, NLTK, Tensorflow or equivalent, Spark ML and MLlib, etc.)
In depth knowledge of cutting-edge machine learning algorithms, as well as the strengths and weaknesses of the different methods and algorithms on different applications.
Experience in Unix systems and scripting in bash.
Proficiency in code optimisation (knowledge of Cython or similar)"
Lead Data Scientist,West,"Permanent, Full Time",Professional,"Engineering, Information Technology","$7,000","to$14,000",Monthly,"Roles & Responsibilities
As one of the fastest growing e-commerce and logistics companies in Asia, RedMart is a part of Alibaba-backed Lazada, Southeast Asia’s leading online shopping and selling platform, and we offer an unparalleled scaling a startup experience. We’re focused on always improving our customer experience and achieving our mission: To save our customers time and money for the important things in life!
We are looking for a Lead Data Scientist who cares deeply about customers and users to help develop the next generation of search and personalization at RedMart. You will build data mining systems to tackle hard problems in understanding and predicting consumer behavior to offer items to customers which are most relevant to them.
You will work with engineers, product managers and designers to develop innovative new technologies and data driven features and products. You will also work closely with other Data Scientists to collaborate on projects and share techniques and learnings. If you enjoy working with data to build products and solve hard problems in surprisingly creative ways, this is the role for you.","Requirements
Qualifications:
Deep expertise in search, preferably in e-commerce. Excellent knowledge on improving search incrementally as well as making step-changes such as applying NLP, text mining, etc.
Proven track record building robust search systems and achieving strong results
Expertise in personalization and recommender systems
Able to guide a team of engineers to identify and break down necessary architecture and services to support search and personalization services
Able to guide and work well with a team of engineers to implement Machine Learning algorithms and models, as well as implementing necessary software
Solid understanding of search metrics and implementing tracking to measure performance
Solid understanding of search engines and utilizing features effectively. Familiarity with ElasticSearch is a plus
Hands-on experience developing and implementing Machine Learning algorithms and models. Background in Machine Learning,Statistics & Information Retrieval
Design, implement, test robust technical solutions that our high traffic site/apps can rely on
Write clean code that’s testable, maintainable, solves the right problem and does it well. Code you can be proud of.
Phd, Masters, or equivalent experience in a quantitative field (computer science, physics, mathematics, bioinformatics, etc.) a plus, but by no means a must
Experience programming in functional languages (Scala,Golang,Haskell, Clojure etc.) a plus but not a must
Knowledge of scripting languages like  Python/R, familiarity with web frameworks a plus
Experience with Java and/or Scala and microservices is a plus
Understanding of A/B testing
    Desired Skills:
Able to be a key influencer in the team’s strategy and contribute significantly to team planning, showing good judgement making technical trade-offs between the team’s short term and long term business needs, and the needs of the company as a whole
Strong team player: Superb communication skills, thrives in a collaborative environment and be committed to the success of the team as a whole.
Critical thinking: ability to track down complex data and engineering issues, evaluate different algorithmic approaches, and analyze data to solve problems
Creativity: you can conceive of new data driven products, features, and technologies
Results: you prioritize, focusing on ideas and features that will have significant, measurable impact
Planning & estimation: ability to set and meet your own project objectives & milestones
Communicate results and progress internally and externally in meetings, presentations, and tech talks
Passion for technology. Our developers are always evaluating new tools and technologies that can make us better. What has attracted your interest lately?"
Senior / Staff Data Scientist,North,Full Time,Professional,"Engineering, Information Technology","$8,000","to$13,000",Monthly,"Roles & Responsibilities
Work with customers to identify opportunities where Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) can be applied to data to solve the customer painpoints.
Individually or collaborate with other team members to develop AI/ML/AA prototypes/Proof-of-Concept/Proof-of-Value to derive actionable insights from data.
Collaborate with the customers and internal stakeholders to architect the overall supporting storage and compute infrastructure to support the deployment of the AI/ML/AA models, applications, and visualisation of the results.  
Collaborate with the relevant project managers to conceptualise, develop project scope, requirements, budget, and timeline for the implementation of the identified AI/ML/AA projects.
Implement the AI/ML/AA projects and to ensure that the projects’ AI/ML/AA objectives are met.
  ","Requirements
PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines.
Prefer candidates with 5 or more years of working experience, with at least 2 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience.
Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired. 
Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS.
Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine learning.
Experience in solutions using technologies such as Hadoop/Hive/Hbase/NoSQL and developer skills in Python, Perl, and Java are highly desired."
Associate / Senior Data Scientist,North,Full Time,Professional,"Engineering, Information Technology","$4,500","to$9,000",Monthly,"Roles & Responsibilities
Work with customers to identify opportunities where Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) can be applied to data to solve the customer painpoints.
Individually or collaborate with other team members to develop AI/ML/AA prototypes/Proof-of-Concept/Proof-of-Value to derive actionable insights from data.
Collaborate with the customers and internal stakeholders to architect the overall supporting storage and compute infrastructure to support the deployment of the AI/ML/AA models, applications, and visualisation of the results.  
Collaborate with the relevant project managers to conceptualise, develop project scope, requirements, budget, and timeline for the implementation of the identified AI/ML/AA projects.
Implement the AI/ML/AA projects and to ensure that the projects’ AI/ML/AA objectives are met.
  ","Requirements
PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines.
Prefer candidates with 3 or more years of working experience, with at least 2 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience.
Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired. 
Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS.
Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine learning.
Experience in solutions using technologies such as Hadoop/Hive/Hbase/NoSQL and developer skills in Python, Perl, and Java are highly desired."
Data Scientist,South,"Contract, Full Time",Non-executive,"Education and Training, Sciences / Laboratory / R&D","$5,000","to$7,500",Monthly,"Roles & Responsibilities
1. Work with Industry Partners in Challenging Business Analytics Projects
Work with BAC industry partners to conduct applied research projects
Collaborate with BAC industry partners to collect business requirements, design and develop analytics and optimization solutions
Design and develop innovative analytics and optimization models and algorithms to solve the challenging business problems; Publish papers/industry reports and file patents in analytics areas","Requirements
Good knowledge in Operations Research and Mathematical Optimization areas, e.g. Mixed Integer Programming (MIP), LP (Linear Programming), NLP (Non-linear Programming), Meta-heuristic search algorithms, etc.
Good knowledge in transforming business requirements into mathematical models
Good knowledge in manufacturing systems and supply chain planning areas
Good knowledge in commercial optimization tools, e.g. IBM Cplex optimization studio, Gurobi, Fico Xpress, etc.
Other analytics knowledge is big plus, e.g. machine learning, simulation, visualization, etc.
Excellent communication skills
Able to confidently deal with different level staffs from top tier MNCs
Willing to go the 'extra mile' for BAC industry partners
Ability to build rapport
Time management and planning skills
Able to travel to oversea based on project requirements
Minimum university degree holder; Masters and PhDs are welcome to apply"
